AI2_Data,CN_Data,rs,bs,acb,ws,dr,low,high,accuracy
physicaliqa,No CN,10061880,3,8,150,0.3,51.0,55.5,53.3
physicaliqa-10pc,all_cs_20k,10061880,3,8,150,0.5,62.3,66.8,64.5
physicaliqa,all_cs_20k,10061880,3,8,150,0.5,75.6,79.3,77.5
physicaliqa-10pc,No CN,10061880,3,8,150,0.5,56.9,61.5,59.2
physicaliqa,No CN,10061880,3,8,150,0.5,75.6,79.3,77.5
physicaliqa-10pc,all_cs_20k,10061880,3,8,300,0,65.7,69.8,67.8
physicaliqa,all_cs_20k,10061880,3,8,300,0,76.0,79.7,77.8
physicaliqa-10pc,No CN,10061880,3,8,300,0,49.9,54.8,52.3
physicaliqa,No CN,10061880,3,8,300,0,75.8,79.4,77.7
physicaliqa,No CN,10061880,3,2,150,0,63.6,68.0,65.8
physicaliqa-10pc,all_cs_20k,10061880,3,8,300,0.3,62.0,66.4,64.2
physicaliqa,all_cs_20k,10061880,3,8,300,0.3,76.2,80.0,78.1
physicaliqa-10pc,No CN,10061880,3,8,300,0.3,61.9,66.2,64.0
physicaliqa,No CN,10061880,3,8,300,0.3,77.4,80.9,79.2
physicaliqa-10pc,all_cs_20k,10061880,3,8,300,0.5,62.3,66.8,64.5
physicaliqa,all_cs_20k,10061880,3,8,300,0.5,75.1,78.9,77.2
physicaliqa-10pc,No CN,10061880,3,8,300,0.5,59.1,63.3,61.2
physicaliqa,No CN,10061880,3,8,300,0.5,66.8,70.8,68.9
physicaliqa-10pc,all_cs_20k,10061880,3,16,150,0,63.7,68.1,66.0
physicaliqa,all_cs_20k,10061880,3,16,150,0,75.2,79.0,77.1
physicaliqa-10pc,all_cs_20k,10061880,3,2,150,0.3,67.7,71.9,69.8
physicaliqa-10pc,No CN,10061880,3,16,150,0,59.1,63.6,61.4
physicaliqa,No CN,10061880,3,16,150,0,75.7,79.5,77.7
physicaliqa-10pc,all_cs_20k,10061880,3,16,150,0.3,59.8,64.1,62.0
physicaliqa,all_cs_20k,10061880,3,16,150,0.3,75.6,79.4,77.5
physicaliqa-10pc,No CN,10061880,3,16,150,0.3,53.4,58.2,55.9
physicaliqa,No CN,10061880,3,16,150,0.3,76.1,80.0,78.2
physicaliqa-10pc,all_cs_20k,10061880,3,16,150,0.5,60.8,65.2,63.1
physicaliqa,all_cs_20k,10061880,3,16,150,0.5,73.9,77.6,75.8
physicaliqa-10pc,No CN,10061880,3,16,150,0.5,52.2,57.0,54.6
physicaliqa,No CN,10061880,3,16,150,0.5,75.2,79.3,77.4
physicaliqa,all_cs_20k,10061880,3,2,150,0.3,75.5,79.2,77.4
physicaliqa-10pc,all_cs_20k,10061880,3,16,300,0,63.7,68.1,66.0
physicaliqa,all_cs_20k,10061880,3,16,300,0,76.2,79.9,78.1
physicaliqa-10pc,No CN,10061880,3,16,300,0,59.1,63.6,61.4
physicaliqa,No CN,10061880,3,16,300,0,75.5,79.2,77.3
physicaliqa-10pc,all_cs_20k,10061880,3,16,300,0.3,61.2,65.5,63.4
physicaliqa,all_cs_20k,10061880,3,16,300,0.3,75.0,78.7,76.9
physicaliqa-10pc,No CN,10061880,3,16,300,0.3,54.7,59.2,57.0
physicaliqa,No CN,10061880,3,16,300,0.3,76.1,80.0,78.2
physicaliqa-10pc,all_cs_20k,10061880,3,16,300,0.5,58.4,62.8,60.6
physicaliqa,all_cs_20k,10061880,3,16,300,0.5,73.9,77.6,75.8
physicaliqa-10pc,No CN,10061880,3,2,150,0.3,69.9,73.9,71.9
physicaliqa-10pc,No CN,10061880,3,16,300,0.5,52.2,57.0,54.6
physicaliqa,No CN,10061880,3,16,300,0.5,75.2,79.3,77.4
physicaliqa-10pc,all_cs_20k,10061880,4,2,150,0,64.4,68.8,66.6
physicaliqa,all_cs_20k,10061880,4,2,150,0,75.8,79.5,77.8
physicaliqa-10pc,No CN,10061880,4,2,150,0,67.8,71.9,69.8
physicaliqa,No CN,10061880,4,2,150,0,75.7,79.5,77.7
physicaliqa-10pc,all_cs_20k,10061880,4,2,150,0.3,66.6,70.8,68.6
physicaliqa,all_cs_20k,10061880,4,2,150,0.3,75.0,78.8,76.9
physicaliqa-10pc,No CN,10061880,4,2,150,0.3,65.5,69.9,67.7
physicaliqa,No CN,10061880,4,2,150,0.3,59.5,63.8,61.6
physicaliqa,No CN,10061880,3,2,150,0.3,56.0,60.4,58.2
physicaliqa-10pc,all_cs_20k,10061880,4,2,150,0.5,61.3,65.6,63.5
physicaliqa,all_cs_20k,10061880,4,2,150,0.5,75.3,79.0,77.2
physicaliqa-10pc,No CN,10061880,4,2,150,0.5,65.2,69.4,67.4
physicaliqa,No CN,10061880,4,2,150,0.5,75.7,79.5,77.6
physicaliqa-10pc,all_cs_20k,10061880,4,2,300,0,64.4,68.8,66.6
physicaliqa,all_cs_20k,10061880,4,2,300,0,76.5,80.3,78.5
physicaliqa-10pc,No CN,10061880,4,2,300,0,66.8,70.8,68.8
physicaliqa,No CN,10061880,4,2,300,0,74.6,78.5,76.6
physicaliqa-10pc,all_cs_20k,10061880,4,2,300,0.3,66.6,70.8,68.6
physicaliqa,all_cs_20k,10061880,4,2,300,0.3,75.0,78.8,76.9
physicaliqa-10pc,all_cs_20k,10061880,3,2,150,0.5,62.5,67.0,64.8
physicaliqa-10pc,No CN,10061880,4,2,300,0.3,65.5,69.9,67.7
physicaliqa,No CN,10061880,4,2,300,0.3,76.1,79.8,78.0
physicaliqa-10pc,all_cs_20k,10061880,4,2,300,0.5,63.3,67.5,65.5
physicaliqa,all_cs_20k,10061880,4,2,300,0.5,75.6,79.6,77.6
physicaliqa-10pc,No CN,10061880,4,2,300,0.5,65.2,69.4,67.4
physicaliqa,No CN,10061880,4,2,300,0.5,75.7,79.5,77.6
physicaliqa-10pc,all_cs_20k,10061880,4,8,150,0,65.2,69.4,67.3
physicaliqa,all_cs_20k,10061880,4,8,150,0,76.2,79.8,78.1
physicaliqa-10pc,No CN,10061880,4,8,150,0,65.4,69.7,67.6
physicaliqa,No CN,10061880,4,8,150,0,73.6,77.5,75.6
physicaliqa,all_cs_20k,10061880,3,2,150,0.5,76.3,80.0,78.1
physicaliqa-10pc,all_cs_10k,10061880,1,2,150,0.2,64.8,68.9,67.0
physicaliqa-10pc,all_cs_10k,10061880,1,2,150,0,68.1,72.3,70.2
physicaliqa-10pc,all_cs_10k,10061880,1,2,150,0.3,64.9,69.1,67.0
physicaliqa,all_cs_10k,10061880,1,2,150,0.2,76.3,80.1,78.2
physicaliqa,all_cs_10k,10061880,1,2,150,0.3,75.8,79.7,78.0
physicaliqa,all_cs_10k,10061880,1,2,150,0,74.6,78.3,76.5
physicaliqa-10pc,all_cs_10k,10061880,1,2,300,0.2,62.2,66.5,64.4
physicaliqa,all_cs_10k,10061880,1,2,300,0,76.0,79.6,77.9
physicaliqa-10pc,all_cs_10k,10061880,1,2,300,0,68.1,72.3,70.2
physicaliqa,all_cs_10k,10061880,1,2,300,0.3,74.9,78.9,77.0
physicaliqa-10pc,all_cs_10k,10061880,1,2,300,0.3,64.9,69.1,67.0
physicaliqa,all_cs_10k,10061880,1,2,300,0.2,76.3,80.1,78.2
physicaliqa-10pc,all_cs_10k,10061880,1,8,150,0,66.5,70.7,68.7
physicaliqa,all_cs_10k,10061880,1,8,150,0,75.0,78.8,76.9
physicaliqa-10pc,all_cs_10k,10061880,1,8,150,0.2,66.9,71.0,69.0
physicaliqa-10pc,all_cs_10k,10061880,1,8,150,0.3,66.5,70.8,68.8
physicaliqa,all_cs_10k,10061880,1,8,150,0.2,76.7,80.5,78.6
physicaliqa,all_cs_10k,10061880,1,8,150,0.3,76.3,80.0,78.3
physicaliqa-10pc,all_cs_10k,10061880,1,8,300,0.2,66.2,70.4,68.3
physicaliqa,all_cs_10k,10061880,1,8,300,0.2,74.1,77.8,76.0
physicaliqa-10pc,all_cs_10k,10061880,1,8,300,0,68.6,72.8,70.7
physicaliqa,all_cs_10k,10061880,1,8,300,0,75.6,79.3,77.4
physicaliqa,all_cs_10k,10061880,1,8,300,0.3,75.7,79.7,77.8
physicaliqa-10pc,all_cs_10k,10061880,1,8,300,0.3,65.0,69.4,67.3
physicaliqa-10pc,all_cs_10k,10061880,2,2,150,0,64.7,69.0,66.9
physicaliqa-10pc,all_cs_10k,10061880,2,2,150,0.2,68.1,72.2,70.2
physicaliqa,all_cs_10k,10061880,2,2,150,0,75.4,79.3,77.2
physicaliqa,all_cs_10k,10061880,2,2,150,0.2,77.6,81.3,79.5
physicaliqa-10pc,all_cs_10k,10061880,2,2,150,0.3,65.7,69.9,67.9
physicaliqa,all_cs_10k,10061880,2,2,150,0.3,75.4,79.2,77.3
physicaliqa-10pc,all_cs_10k,10061880,2,2,300,0.2,68.1,72.1,70.0
physicaliqa-10pc,all_cs_10k,10061880,2,2,300,0,64.7,69.0,66.9
physicaliqa,all_cs_10k,10061880,2,2,300,0.2,69.1,73.2,71.0
physicaliqa,all_cs_10k,10061880,2,2,300,0,75.4,79.3,77.2
physicaliqa-10pc,all_cs_10k,10061880,2,2,300,0.3,67.1,71.2,69.1
physicaliqa,all_cs_10k,10061880,2,2,300,0.3,75.4,79.2,77.3
physicaliqa-10pc,all_cs_10k,10061880,2,8,150,0,66.3,70.3,68.3
physicaliqa-10pc,all_cs_10k,10061880,2,8,150,0.2,67.6,71.9,69.8
physicaliqa,all_cs_10k,10061880,2,8,150,0.2,75.4,79.0,77.2
